GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008,H7Z001,H7Z002,H7Z003,H7Z004,H7Z005,H7Z006,H7Z007,H7Z008,H7Z009,H7Z010,H7Z011,H7Z012,H7Z013,H7Z014,H7Z015,H7Z016,H7Z017,H76001,H76002,H76003,H76004,H76005,H76006,H76007,H76008,H76009,H76010,H76011,H76012,H76013,H76014,H76015,H76016,H76017,H76018,H76019,H76020,H76021,H76022,H76023,H76024,H76025,H76026,H76027,H76028,H76029,H76030,H76031,H76032,H76033,H76034,H76035,H76036,H76037,H76038,H76039,H76040,H76041,H76042,H76043,H76044,H76045,H76046,H76047,H76048,H76049,H8C001,H8C002,H8C003,H8C004,H8C005,H8C006,H8C007,H8C008,H8C009,IFC001
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,Block Code,Consolidated City Code,American Indian Reservation with Trust Lands; reservation only Code,American Indian Reservation with Trust Lands; trust lands only Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,Tribal Subdivision/Remainder Code,Tribal Census Tract Code,Tribal Block Group Code,Alaska Native Regional Corporation Code,Metropolitan Statistical Area/Micropolitan Statistical Area Code,Metropolitan Division Code,Combined Statistical Area Code,New England City and Town Area Code,NECTA Division Code,Combined New England City and Town Area Code,Urban Area Code,Urban/Rural Code,Congressional District (111th Congress) Code,State Legislative District (Upper Chamber) Code,State Legislative District (Lower Chamber) Code,5-Digit Zip Code Tabulation Area Code,Subminor Civil Division Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,School Attendance Area Code,Total,Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races,Total,Not Hispanic or Latino,Not Hispanic or Latino: White alone,Not Hispanic or Latino: Black or African American alone,Not Hispanic or Latino: American Indian and Alaska Native alone,Not Hispanic or Latino: Asian alone,Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: Some Other Race alone,Not Hispanic or Latino: Two or More Races,Hispanic or Latino,Hispanic or Latino: White alone,Hispanic or Latino: Black or African American alone,Hispanic or Latino: American Indian and Alaska Native alone,Hispanic or Latino: Asian alone,Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino: Some Other Race alone,Hispanic or Latino: Two or More Races,Total,Male,Male: Under 5 years,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female,Female: Under 5 years,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over,Total,Family households,Family households: Husband-wife family,Family households: Other family,"Family households: Other family: Male householder, no wife present","Family households: Other family: Female householder, no husband present",Nonfamily households,Nonfamily households: Householder living alone,Nonfamily households: Householder not living alone,Total
"G55000109501001","2010","2","3","Wisconsin","55","Adams County","001",,,"950100","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1057,1057,1038,1,2,6,1,4,5,1057,1040,1025,1,2,6,1,0,5,17,13,0,0,0,0,4,0,1057,549,20,10,31,21,10,5,2,15,20,19,17,28,34,54,48,18,29,27,46,44,18,20,13,508,21,14,18,7,9,6,3,10,19,12,14,32,38,51,46,22,34,27,29,40,19,23,14,479,340,292,48,15,33,139,114,25,1209
"G55000109501002","2010","2","3","Wisconsin","55","Adams County","001",,,"950100","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,797,797,780,0,3,7,0,5,2,797,794,778,0,3,7,0,4,2,3,2,0,0,0,0,1,0,797,410,12,13,17,9,3,0,1,3,13,15,17,16,31,30,41,16,23,28,27,42,34,11,8,387,7,11,16,10,2,0,1,8,11,11,11,11,33,34,40,23,27,19,34,40,21,12,5,387,271,243,28,12,16,116,93,23,1136
"G55000109501003","2010","2","3","Wisconsin","55","Adams County","001",,,"950100","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,1119,1119,1105,2,5,1,0,0,6,1119,1111,1097,2,5,1,0,0,6,8,8,0,0,0,0,0,0,1119,579,20,21,24,21,7,2,2,8,15,16,19,16,36,30,59,26,57,30,40,49,44,29,8,540,16,21,15,13,5,3,3,5,8,18,17,25,39,42,53,25,52,26,45,50,32,20,7,514,397,370,27,10,17,117,98,19,1153
"G55000109502011","2010","2","3","Wisconsin","55","Adams County","001",,,"950201","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,1379,1379,1353,5,5,3,0,3,10,1379,1355,1336,5,5,3,0,0,6,24,17,0,0,0,0,3,4,1379,722,30,31,35,22,8,10,4,14,26,26,36,25,56,66,89,31,34,21,38,53,33,20,14,657,26,25,29,17,20,10,2,6,22,20,31,31,66,54,79,24,40,15,28,47,31,24,10,633,418,347,71,26,45,215,176,39,1518
"G55000109502021","2010","2","3","Wisconsin","55","Adams County","001",,,"950202","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,823,823,790,0,6,9,2,6,10,823,803,779,0,6,9,2,0,7,20,11,0,0,0,0,6,3,823,436,11,18,19,20,6,4,2,6,18,19,15,25,38,35,32,16,26,16,24,40,24,19,3,387,15,12,16,15,10,3,0,7,8,13,24,19,29,38,24,14,21,12,29,32,19,15,12,386,244,209,35,15,20,142,120,22,732
"G55000109502022","2010","2","3","Wisconsin","55","Adams County","001",,,"950202","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,926,926,898,3,8,2,0,7,8,926,905,893,3,3,2,0,0,4,21,5,0,5,0,0,7,4,926,491,22,17,18,12,7,4,1,16,17,11,22,29,33,46,49,24,27,19,37,35,25,16,4,435,11,17,15,8,8,3,1,6,18,17,10,23,44,38,41,16,37,12,38,22,21,18,11,428,287,231,56,26,30,141,121,20,1192
"G55000109502023","2010","2","3","Wisconsin","55","Adams County","001",,,"950202","3",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 3",,925,925,889,7,4,3,0,6,16,925,903,876,6,4,3,0,0,14,22,13,1,0,0,0,6,2,925,489,16,20,22,13,13,5,3,7,15,15,18,18,40,42,41,13,41,15,40,41,28,20,3,436,19,20,14,9,8,2,3,16,7,14,19,18,32,38,50,21,27,22,26,32,18,14,7,417,277,224,53,20,33,140,108,32,1030
"G55000109504001","2010","2","3","Wisconsin","55","Adams County","001",,,"950400","1",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 1",,710,710,678,1,6,7,0,6,12,710,692,668,1,6,7,0,0,10,18,10,0,0,0,0,6,2,710,369,23,18,10,15,6,0,4,7,19,8,18,31,31,33,30,11,21,15,14,21,17,10,7,341,21,16,12,9,2,2,3,10,15,15,19,16,23,34,35,13,18,15,15,18,17,3,10,308,217,179,38,16,22,91,73,18,481
"G55000109504002","2010","2","3","Wisconsin","55","Adams County","001",,,"950400","2",,,,,,,,,,"99999","99999","999",,,,,,,,,,,,,,"Block Group 2",,1105,1105,1065,6,12,0,0,10,12,1105,1062,1041,3,10,0,0,0,8,43,24,3,2,0,0,10,4,1105,592,39,31,33,22,13,7,5,20,22,26,37,34,47,46,56,16,25,15,27,34,18,8,11,513,30,27,35,24,12,4,3,17,28,29,24,28,36,46,38,11,19,20,23,27,14,17,1,467,313,222,91,42,49,154,117,37,691
