NAME,LATITUDE,LONGITUDE,ADDRESS,CITY,STATE,ZIP,ANNUAL_REPORT,NOTES,WEBSITE,,
Lussier Community Education Center,43.0663757,-89.5017319,55 SOUTH GAMMON ROAD,MADISON,WI,53717,Y,"In 3 files: Impact Snapshot, Financial Summary, Donor Summary",http://lcecmadison.org/,,
Wisconsin Youth & Family Center,43.0405083,-89.5044098,1201 MCKENNA BOULEVARD,MADISON,WI,53719,Y,n/a,http://www.wisconsinyouthcompany.org/,,
Meadowood Neighborhood Center,43.0320022,-89.4779563,5734 RAYMOND ROAD,MADISON,WI,53711,Y,Madison School & Community Recreation manages this facility (see that annual report),http://www.mscr.org/meadowood,,
Boys & Girls Club of Dane County - Allied Family Center,43.0284042,-89.4577103,4619 JENEWEIN ROAD,FITCHBURG,WI,53711,Y,1 report for both Boys&Girls Clubs,http://www.bgcdc.org/,,
Boys & Girls Club of Dane County - Taft,43.0732956,-89.4553146,2001 TAFT STREET,MADISON,WI,53713,Y,1 report for both Boys&Girls Clubs,http://www.bgcdc.org/,,
West Madison Senior Center,43.0441246,-89.3924713,602 SAWYER TERRACE,MADISON,WI,53705,Y,n/a,http://www.wmseniorcenter.org/,,
Neighborhood House Community Center,43.0667725,-89.4036636,29 SOUTH MILLS STREET,MADISON,WI,53715,Survey?,"""Madison's oldest community center""; Spoke w/ & sent survey to Monica@neighborhoodhousemadison.org",http://www.neighborhoodhousemadison.org/search.php?keyword=annual+report&limit=100&action=SEARCH&search-submit=,,
Bayview International Center for Education and the Arts,43.066635,-89.397109,601 BAY VIEW,MADISON,WI,53715,N,Annual Report Link not working; left phone message for director - no response,http://www.bayviewfoundation.org/,,
Madison Senior Center,43.0730057,-89.389679,330 WEST MIFFLIN STREET,MADISON,WI,53703,Y,n/a,http://www.cityofmadison.com/seniorCenter/,,
Bridge Lake Point Waunona Neighborhood Cener,43.0481424,-89.3464201,1917 LAKE POINT DRIVE,MADISON,WI,53713,Y,Includes Vera Court,http://www.blwcenter.org/,,
Wil-Mar Neighborhood Center,43.0798035,-89.3670197,953 JENIFER ST,MADISON,WI,53703,Survey?,Spoke w/ & sent survey to Program Director Beatrice beatriceh@wil-mar.org,http://www.wil-mar.org/contact/,,
Goodman Community Center,43.0970535,-89.3436813,149 WAUBESA ST,MADISON,WI,53704,Y,Website screen shots; not .pdf,http://www.goodmancenter.org/,,
East Madison Community Center,43.1172086,-89.329952,8 STRAUBEL COURT,MADISON,WI,53704,Y,n/a,http://www.eastmadisoncc.org/,,
Warner Park Community Recreation Center,43.1327051,-89.3683143,1625 NORTHPORT DRIVE,MADISON,WI,53704,N,City Stopped producing annual reports post-2014. Spoke with staffsperson Ryan; The one he provided was not center-oriented and too general.,http://www.cityofmadison.com/parks/WPCRC/,,Spoke with staffsperson Ryan
Vera Court Neighborhood Center,43.1361075,-89.3858023,614 VERA COURT,MADISON,WI,53704,Y,Included in Bridge Lake,http://www.veracourt.org/,,
Kennedy Heights Community Center,43.14022,-89.3856997,199 KENNEDY HEIGHTS,MADISON,WI,53704,N,Call - No answer; Email - 1 response but no report,http://www.khcommunitycenter.org/message.html
Madina Community Center,43.0390638,-89.4565234,4718 HAMMERSLEY ROAD,MADISON,WI,53711,N,Didn't contact,http://madisonmuslims.org/
South Madison Coalition of the Elderly,43.0526772,-89.3818283,128 East Olin Avenue Suite 110,MADISON,WI,53713,Y,n/a,http://smcelder.com/
East Madison/Monona Coalition of the Aging,43.0782852,-89.3240662,4142 Monona Drive,MADISON,WI,53716,Y,n/a,http://www.emmca.org/
