GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G55002500001001,2011-2015,,,Wisconsin,55,Dane County,25,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1, Dane County, Wisconsin",1093,539,54,71,33,0,0,0,7,17,33,43,8,60,75,6,28,17,15,15,8,17,24,8,0,554,13,0,30,34,19,7,0,18,50,19,7,97,34,21,46,30,17,14,17,48,33,0,0,1093,1093,1080,0,0,13,0,0,0,0,0,1093,1076,1063,0,0,13,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,602,476,389,87,87,0,0,0,0,70,70,0,0,0,0,0,0,14,8,0,34,486,285,255,30,14,16,201,141,60,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,9,16,81,33,264,206,22,89,1093,26,24,0,9,0,17,1017,78611,486,7,7,0,479,39,440,875,641,641,623,18,0,234,"Block Group 1, Census Tract 1, Dane County, Wisconsin",204,146,40,71,35,9,9,9,11,19,33,29,13,43,50,9,23,19,17,17,13,18,22,11,9,114,20,9,30,32,22,11,9,19,24,22,10,47,28,25,28,24,19,16,19,27,26,9,9,204,204,205,9,9,21,9,9,9,9,9,204,203,204,9,9,21,9,9,9,9,9,19,19,9,9,9,9,9,9,9,9,112,99,90,55,55,9,9,9,9,32,32,9,9,9,9,9,9,16,11,9,30,59,62,57,29,21,18,51,40,30,110,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,40,13,18,36,31,82,60,20,51,204,23,27,9,15,9,18,203,38281,59,11,11,9,60,26,59,134,118,118,114,19,9,69
G55002500001002,2011-2015,,,Wisconsin,55,Dane County,25,,,100,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 1, Dane County, Wisconsin",1439,676,27,30,53,11,28,0,0,48,56,77,22,41,74,39,30,12,24,9,29,29,8,14,15,763,31,39,0,0,11,0,0,54,120,76,54,54,89,26,46,25,48,8,18,39,9,7,9,1439,1439,1256,15,0,46,0,0,122,0,122,1439,1363,1180,15,0,46,0,0,122,0,122,76,76,0,0,0,0,0,0,0,0,837,673,593,80,47,33,0,0,0,71,71,0,0,0,0,0,0,22,0,7,64,744,356,243,113,13,100,388,267,121,1107,2,0,0,0,0,26,0,0,0,0,0,22,0,2,0,195,23,18,184,133,235,178,36,53,1439,87,33,15,20,24,35,1225,52981,744,81,74,7,663,161,502,1248,996,996,897,99,0,252,"Block Group 2, Census Tract 1, Dane County, Wisconsin",163,127,30,34,39,18,36,9,9,57,39,37,19,30,55,30,36,16,21,13,25,35,12,16,17,119,32,36,9,9,17,9,9,47,55,47,40,46,58,25,29,23,41,13,19,38,13,11,13,163,163,173,20,9,46,9,9,93,9,93,163,179,187,20,9,46,9,9,93,9,93,68,68,9,9,9,9,9,9,9,9,128,112,120,51,36,35,9,9,9,33,33,9,9,9,9,9,9,34,9,11,44,72,76,68,66,20,65,80,73,64,122,4,9,9,9,9,40,9,9,9,9,9,34,9,4,9,80,19,22,82,66,65,54,28,43,163,65,25,16,22,21,38,176,6151,72,61,63,10,72,67,79,148,145,145,133,68,9,95
G55002500002011,2011-2015,,,Wisconsin,55,Dane County,25,,,201,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2.01, Dane County, Wisconsin",1293,590,27,39,38,0,0,7,4,4,33,63,55,7,52,77,12,8,16,16,47,31,7,15,32,703,46,9,9,21,5,0,10,46,56,48,24,33,34,113,11,23,70,24,22,32,17,42,8,1293,1293,1089,0,9,135,0,0,60,0,60,1293,1284,1089,0,0,135,0,0,60,0,60,9,0,0,9,0,0,0,0,0,0,746,544,529,15,5,10,0,0,0,72,72,0,0,0,0,0,0,44,14,0,72,570,420,363,57,18,39,150,105,45,1028,18,0,0,0,0,0,0,0,0,0,0,0,0,8,8,43,7,59,103,34,374,200,53,121,1293,63,36,48,19,22,0,1105,90515,570,0,0,0,570,109,461,1125,771,771,762,9,0,354,"Block Group 1, Census Tract 2.01, Dane County, Wisconsin",134,91,24,30,32,9,9,13,8,8,27,45,33,12,32,39,19,13,17,17,26,25,10,17,27,96,28,13,13,32,8,9,15,50,37,39,22,25,26,35,13,21,35,21,20,24,20,27,13,134,134,145,9,14,75,9,9,40,9,40,134,131,145,9,9,75,9,9,40,9,40,14,9,9,14,9,9,9,9,9,9,117,107,103,18,9,15,9,9,9,40,40,9,9,9,9,9,9,31,16,9,39,57,60,58,32,15,29,55,48,31,103,20,9,9,9,9,9,9,9,9,9,9,9,9,13,13,36,10,49,49,27,93,62,34,68,134,42,45,51,21,35,9,146,16339,57,9,9,9,57,42,67,113,116,116,118,14,9,99
G55002500002012,2011-2015,,,Wisconsin,55,Dane County,25,,,201,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2.01, Dane County, Wisconsin",792,342,7,14,6,20,0,22,7,12,23,22,11,30,6,51,21,46,11,14,7,7,0,5,0,450,22,15,15,12,14,0,0,11,55,23,29,44,58,21,16,23,15,0,15,24,29,0,9,792,792,688,0,8,82,0,0,14,0,14,792,736,665,0,0,71,0,0,0,0,0,56,23,0,8,11,0,0,14,0,14,508,282,269,13,5,0,8,0,0,84,84,0,0,0,0,0,0,40,13,14,75,394,177,154,23,0,23,217,151,66,615,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,23,7,0,49,62,260,149,14,34,792,8,0,12,0,79,19,674,83286,394,0,0,0,394,90,304,687,543,543,514,29,0,144,"Block Group 2, Census Tract 2.01, Dane County, Wisconsin",121,72,10,16,9,20,9,21,12,19,21,19,13,25,10,32,23,48,12,17,11,11,9,8,9,75,24,16,16,13,15,9,9,16,53,21,23,28,35,21,17,17,18,9,16,22,25,9,14,121,121,133,9,11,53,9,9,22,9,22,121,124,135,9,9,49,9,9,9,9,9,48,25,9,11,18,9,9,22,9,22,101,68,69,15,9,9,12,9,9,58,58,9,9,9,9,9,9,27,20,19,52,52,39,39,20,9,20,62,50,51,100,9,9,9,9,9,9,9,9,9,9,28,9,9,9,9,25,11,9,32,44,77,73,16,33,121,11,9,19,9,42,21,132,20278,52,9,9,9,52,55,56,100,99,99,102,22,9,58
G55002500002021,2011-2015,,,Wisconsin,55,Dane County,25,,,202,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2.02, Dane County, Wisconsin",1103,533,23,0,10,27,0,0,21,11,46,0,29,20,14,66,62,0,49,43,37,37,19,9,10,570,18,19,28,19,15,0,0,45,0,35,18,25,41,58,39,49,25,41,54,25,0,7,9,1103,1103,950,14,0,121,0,0,18,0,18,1103,1037,898,0,0,121,0,0,18,0,18,66,52,14,0,0,0,0,0,0,0,682,545,476,69,60,0,9,0,0,88,88,0,0,0,0,0,0,0,18,0,31,436,329,322,7,0,7,107,75,32,867,0,0,0,0,0,0,0,0,0,0,0,0,22,0,13,69,0,0,66,69,279,138,103,108,1103,53,36,0,0,0,0,1014,121250,436,9,0,9,427,59,368,997,713,713,691,22,0,284,"Block Group 1, Census Tract 2.02, Dane County, Wisconsin",179,102,24,9,15,24,9,9,24,16,45,9,31,24,14,38,28,9,29,35,29,29,21,14,14,101,20,23,25,20,16,9,9,43,9,27,14,27,25,32,28,31,24,27,33,26,9,10,14,179,179,183,23,9,73,9,9,27,9,27,179,182,182,9,9,73,9,9,27,9,27,62,58,23,9,9,9,9,9,9,9,155,150,122,57,55,9,14,9,9,42,42,9,9,9,9,9,9,9,19,9,28,47,54,54,10,9,10,43,39,21,132,9,9,9,9,9,9,9,9,9,9,9,9,26,9,21,50,9,9,36,51,74,57,55,51,179,56,47,9,9,9,9,183,28170,47,15,9,15,48,30,51,153,154,154,154,32,9,77
G55002500002022,2011-2015,,,Wisconsin,55,Dane County,25,,,202,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2.02, Dane County, Wisconsin",2017,932,48,24,39,55,0,36,0,16,184,96,50,68,51,39,47,6,26,0,52,10,25,19,41,1085,57,51,55,41,0,12,8,34,113,97,67,33,76,63,64,52,20,0,43,33,66,67,33,2017,2017,1633,54,0,239,0,0,91,0,91,2017,1936,1573,54,0,218,0,0,91,0,91,81,60,0,0,21,0,0,0,0,0,1063,903,853,50,34,0,16,0,0,84,84,0,0,0,0,0,0,33,6,0,37,987,545,441,104,20,84,442,343,99,1541,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,132,36,66,195,98,531,232,124,118,2017,54,49,49,52,155,57,1601,63113,987,15,7,8,972,182,790,1699,1135,1135,1072,63,0,564,"Block Group 2, Census Tract 2.02, Dane County, Wisconsin",211,134,33,26,28,45,9,56,9,18,77,47,32,47,32,30,32,10,23,9,29,15,26,22,34,139,34,42,37,40,9,19,13,27,48,43,51,30,58,32,30,25,19,9,32,31,36,50,28,211,211,209,56,9,116,9,9,61,9,61,211,197,190,56,9,112,9,9,61,9,61,67,50,9,9,31,9,9,9,9,9,155,156,168,48,41,9,25,9,9,47,47,9,9,9,9,9,9,38,10,9,24,78,101,76,77,25,71,76,63,50,143,9,9,9,9,9,9,9,9,9,9,9,9,7,9,9,54,35,41,67,57,124,65,60,65,211,50,31,33,51,120,73,221,6367,78,16,10,12,78,72,79,163,141,141,153,40,9,105
G55002500002041,2011-2015,,,Wisconsin,55,Dane County,25,,,204,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2.04, Dane County, Wisconsin",1818,834,103,136,46,104,15,0,9,0,25,17,24,49,70,75,1,16,14,30,35,46,0,0,19,984,214,59,17,61,27,0,0,89,81,56,21,13,55,92,27,15,28,0,22,49,29,29,0,1818,1818,979,753,0,71,0,0,15,0,15,1818,1818,979,753,0,71,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,656,484,415,69,36,33,0,0,0,27,27,0,0,0,0,0,0,30,50,0,65,657,565,280,285,59,226,92,61,31,938,3,0,0,0,0,0,0,1,0,0,0,0,56,0,18,64,1,17,170,15,294,157,82,60,1818,563,73,115,20,0,58,989,59420,657,237,72,165,420,13,407,1186,673,673,656,17,0,513,"Block Group 1, Census Tract 2.04, Dane County, Wisconsin",362,166,107,82,45,60,24,9,19,9,29,27,28,53,54,49,2,26,21,30,40,34,9,9,30,279,110,79,29,68,42,9,9,102,74,52,28,22,46,56,31,22,34,9,36,40,33,35,9,362,362,209,383,9,65,9,9,24,9,24,362,362,209,383,9,65,9,9,24,9,24,9,9,9,9,9,9,9,9,9,9,124,110,119,69,47,58,9,9,9,30,30,9,9,9,9,9,9,35,59,9,58,95,111,80,112,57,117,55,45,35,156,6,9,9,9,9,9,9,2,9,9,9,9,69,9,27,55,2,27,73,25,111,78,79,46,362,385,85,139,35,9,73,215,21665,95,107,77,97,62,21,62,160,116,116,124,25,9,142
G55002500002042,2011-2015,,,Wisconsin,55,Dane County,25,,,204,2,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2.04, Dane County, Wisconsin",1356,641,0,44,54,40,0,0,17,0,55,0,30,68,0,32,44,72,47,14,77,15,0,32,0,715,17,42,0,0,0,0,23,31,56,5,9,64,57,31,72,27,30,33,48,61,62,32,15,1356,1356,1162,37,39,118,0,0,0,0,0,1356,1356,1162,37,39,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,575,575,0,0,0,0,0,0,47,47,0,0,0,0,0,12,5,39,0,15,686,359,310,49,0,49,327,273,54,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,176,33,31,61,16,444,204,64,44,1356,16,10,10,16,28,0,1276,80234,686,14,0,14,672,92,580,1199,748,748,693,55,0,451,"Block Group 2, Census Tract 2.04, Dane County, Wisconsin",251,178,9,48,66,45,9,9,25,9,38,9,34,52,9,36,40,62,41,23,53,23,9,35,9,128,27,40,9,9,9,9,35,50,47,11,13,48,48,35,64,31,33,36,25,50,50,34,23,251,251,210,59,54,125,9,9,9,9,9,251,251,210,59,54,125,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,180,151,151,9,9,9,9,9,9,60,60,9,9,9,9,9,19,11,45,9,23,97,85,90,35,9,35,102,98,34,168,9,9,9,9,9,9,9,9,9,9,9,9,9,9,23,108,37,34,48,26,129,96,56,40,251,25,16,17,26,43,9,256,18079,97,22,9,22,99,57,105,210,186,186,180,49,9,130
G55002500002043,2011-2015,,,Wisconsin,55,Dane County,25,,,204,3,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2.04, Dane County, Wisconsin",2170,1266,102,51,80,0,0,0,18,69,230,264,191,62,54,41,30,12,10,17,35,0,0,0,0,904,46,39,0,31,0,0,0,71,296,148,46,30,32,39,49,0,14,31,16,16,0,0,0,2170,2170,1334,40,0,644,0,0,152,14,138,2170,2102,1280,40,0,644,0,0,138,0,138,68,54,0,0,0,0,0,14,14,0,1476,1337,1230,107,82,0,25,0,0,98,98,0,0,0,0,0,0,17,12,0,12,1132,501,439,62,40,22,631,551,80,1663,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,148,38,52,42,140,728,344,76,71,2170,130,70,38,0,104,13,1815,63673,1132,12,0,12,1120,34,1086,1838,1551,1551,1476,75,0,287,"Block Group 3, Census Tract 2.04, Dane County, Wisconsin",356,234,72,38,67,9,9,9,27,51,115,101,98,49,65,35,31,17,18,26,34,9,9,9,9,179,40,57,9,35,9,9,9,83,94,72,41,29,37,37,41,9,22,34,24,26,9,9,9,356,356,307,66,9,238,9,9,176,24,175,356,351,304,66,9,238,9,9,175,9,175,76,71,9,9,9,9,9,24,24,9,211,242,246,70,64,9,30,9,9,79,79,9,9,9,9,9,9,28,19,9,21,106,143,133,67,65,19,145,138,50,222,18,9,9,9,9,9,9,9,9,9,9,9,9,19,9,87,34,44,36,96,157,123,64,54,356,183,68,36,9,129,20,337,11237,106,17,9,17,107,40,108,261,244,244,211,76,9,159
G55002500002051,2011-2015,,,Wisconsin,55,Dane County,25,,,205,1,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2.05, Dane County, Wisconsin",2267,982,41,70,49,68,0,14,0,38,12,63,50,46,87,32,71,69,30,41,61,61,49,0,30,1285,51,76,40,0,28,0,50,42,30,56,76,59,85,114,101,43,112,16,44,122,63,29,48,2267,2267,2012,86,0,104,0,0,65,39,26,2267,2267,2012,86,0,104,0,0,65,39,26,0,0,0,0,0,0,0,0,0,0,1087,862,841,21,21,0,0,0,0,59,59,0,0,0,0,0,0,58,0,0,108,1006,740,622,118,48,70,266,235,31,1700,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,25,78,151,535,498,176,158,2267,55,16,16,0,51,0,2129,114063,1006,16,0,16,990,210,780,1906,1133,1133,1118,15,0,773,"Block Group 1, Census Tract 2.05, Dane County, Wisconsin",281,199,37,47,45,55,9,23,9,43,20,47,33,38,49,36,52,61,33,39,75,49,46,9,34,177,48,48,33,9,32,9,46,33,32,47,48,52,73,81,74,40,83,24,41,91,51,34,44,281,281,256,92,9,72,9,9,65,54,38,281,281,256,92,9,72,9,9,65,54,38,9,9,9,9,9,9,9,9,9,9,206,176,174,24,24,9,9,9,9,46,46,9,9,9,9,9,9,45,9,9,94,109,136,129,80,39,70,87,88,34,229,25,9,9,9,9,9,9,9,9,9,9,9,9,9,9,62,9,29,56,97,158,143,80,105,281,85,25,25,9,71,9,297,25423,109,25,9,25,111,91,127,244,209,209,203,24,9,187
